id;name;purchase_date;property_number;street_address;city;state_code;zip_code
1;Multi-channelled driver withdrawal;2020-05-09;Avon white;attitude-oriented Arizona;Mertzview;be;70063
2;zero tolerance Associate;2020-05-09;Supervisor Georgia;pink;Labadieview;pr;92503
3;Fantastic Ergonomic Frozen Salad;2020-05-09;Books program Tasty Plastic Towels;Grocery systems;North Loyalport;Ge;55617
4;Solutions Regional;2020-05-10;Wooden;Assistant pink;New Destini;Fu;98395-5555
5;Russian Ruble;2020-05-10;Chief;withdrawal;South Joesphchester;Ar;39958
6;Bedfordshire;2020-05-09;Stravenue Tactics;Bedfordshire Small Home Loan Account;Maureenmouth;In;53283
7;Self-enabling input;2020-05-09;Personal Loan Account 24 hour;Vietnam;South Mose;So;42462
8;Avon digital;2020-05-09;Buckinghamshire Practical Unbranded Frozen Chicken;Fantastic Plastic Mouse throughput Principal;Port Madysonstad;So;03639-2941
9;Berkshire Hat;2020-05-09;International;turquoise HTTP Tactics;East Jane;In;41482
10;index;2020-05-09;application synergistic;back up;New Margeshire;ov;10162-6270
