id;date_occurred;cause;resolution
1;2020-05-10;XSS;Mouse
2;2020-05-09;streamline;Developer
3;2020-05-09;Savings Account;multi-byte
4;2020-05-09;Electronics New Jersey paradigms;Fantastic functionalities
5;2020-05-10;Directives parse Mouse;Designer generating
6;2020-05-10;Tuvalu infomediaries wireless;Officer
7;2020-05-09;Expressway artificial intelligence;Beauty
8;2020-05-10;Soft Fresh Functionality;Auto Loan Account Lead
9;2020-05-09;Planner alarm;service-desk
10;2020-05-10;functionalities United Kingdom;Idaho
