id;date_signed;move_in_date;notice_of_removal_or_moveout_date;end_date;amount;lease_type;notes
1;2020-05-09;2020-05-09;2020-05-10;2020-05-10;97871;FTP green Producer;Markets
2;2020-05-09;2020-05-09;2020-05-10;2020-05-09;10393;RSS synthesize;Pula
3;2020-05-09;2020-05-10;2020-05-09;2020-05-09;19930;Bedfordshire Division;target
4;2020-05-10;2020-05-09;2020-05-09;2020-05-09;16168;turn-key e-business;maximized wireless
5;2020-05-09;2020-05-09;2020-05-09;2020-05-09;53945;Estate National Colorado;Credit Card Account
6;2020-05-09;2020-05-10;2020-05-09;2020-05-09;83718;Kentucky Berkshire;Faroe Islands Fantastic Organized
7;2020-05-09;2020-05-10;2020-05-09;2020-05-09;39916;Orchestrator grid-enabled;Unbranded Steel Chicken Handcrafted Steel Gloves port
8;2020-05-10;2020-05-09;2020-05-09;2020-05-09;97813;Frozen;Fish Tuna
9;2020-05-10;2020-05-10;2020-05-09;2020-05-09;37751;pink Rustic Soft Bike;Guarani
10;2020-05-10;2020-05-09;2020-05-09;2020-05-09;83194;Enhanced Sleek;Rhode Island Licensed
