id;description;notification_date;date_complete;contractor_job_number;repair_cost;repair_paid_on;receipt_of_payment
1;Netherlands Antillian Guilder;2020-05-10;2020-05-10;Producer Kuwait;8487;2020-05-09;neural Key Awesome Metal Towels
2;feed;2020-05-10;2020-05-09;Analyst;78632;2020-05-09;Branding attitude
3;Intelligent Division Legacy;2020-05-09;2020-05-09;AI orchestration;29544;2020-05-09;Horizontal Computers flexibility
4;Quality Intelligent Plastic Chicken;2020-05-09;2020-05-09;Grocery;82001;2020-05-09;contingency eco-centric Optimization
5;monitor;2020-05-09;2020-05-10;Incredible Wooden Bike;50896;2020-05-10;connect
6;Profit-focused Court;2020-05-09;2020-05-10;Comoros;99349;2020-05-09;Incredible dynamic Engineer
7;index Cloned Forward;2020-05-09;2020-05-10;Bhutan Assistant;33587;2020-05-10;Garden firewall
8;TCP;2020-05-09;2020-05-09;digital bypass facilitate;82920;2020-05-09;Unbranded
9;Handmade Plastic Chicken;2020-05-09;2020-05-09;firewall;75145;2020-05-09;superstructure Tuna Rustic Metal Computer
10;Rustic Steel Pizza;2020-05-09;2020-05-09;client-driven payment benchmark;82529;2020-05-09;Norwegian Krone Facilitator
