id;name;type;color;certified_assistance_animal
1;Movies Cotton;Way;pink;true
2;Assistant Plaza Intelligent;Fresh;violet;false
3;parsing XML;Pike Automotive;ivory;false
4;Mall mobile Computers;Technician;black;false
5;Gorgeous;capacitor;salmon;true
6;payment Louisiana Director;salmon Sweden SDD;cyan;false
7;Refined;strategic Administrator Buckinghamshire;indigo;true
8;leading-edge;Branding;turquoise;false
9;GB Licensed Bedfordshire;Home Loan Account Operations;orange;true
10;Wooden Regional SSL;repurpose;orange;false
