id;tax_year;amount;date_paid;confirmation_number
1;49412;27520;2020-05-10;facilitate Track hierarchy
2;26559;44966;2020-05-10;heuristic
3;65288;42442;2020-05-09;analyzer Locks Handmade Plastic Fish
4;4096;15942;2020-05-10;Visionary Music port
5;47222;75380;2020-05-09;Car
6;2395;8091;2020-05-10;Fundamental Salad Fantastic Concrete Bike
7;26535;21653;2020-05-09;Analyst Assistant
8;11489;90860;2020-05-10;Maryland
9;64321;54144;2020-05-09;leverage navigating Fresh
10;87271;94312;2020-05-09;override
